Stock Code,Current Price,Report Evaluation,Diversity of Report Source,Acceptable Purchase Price,Ratio,Reports (1Y),Errors
MSN,77700.0,88905.0,9,71124.0,0.8739665935549181,20,
SAB,47000.0,48337.5,6,38670.0,0.9723299715541763,12,
VNM,60100.0,63000.0,15,50400.0,0.953968253968254,26,
GVR,36300.0,30810.000000000004,7,24648.000000000004,1.1781888997078869,9,
MWG,83800.0,87297.75,17,69838.2,0.9599331025140969,40,
DGW,42250.0,45383.68421052632,13,36306.94736842106,0.9309513040856323,19,
FRT,138300.0,154245.0,13,123396.0,0.89662549839541,24,
PNJ,69500.0,68720.00000000001,13,54976.000000000015,1.0113504074505237,19,
IMP,46850.0,49578.75,4,39663.0,0.9449612989435998,8,
DHG,97200.0,,0,,,0,no_1y_reports_or_no_targetPrice; 
MBB,25900.0,27131.25,16,21705.0,0.9546187514397604,25,
VCB,59900.0,66124.28571428571,12,52899.42857142857,0.9058698986756542,21,
BID,41750.0,41754.375,11,33403.5,0.9998952205607197,17,
FOX,82200.0,83520.0,3,66816.0,0.9841954022988506,3,
FPT,70600.0,103101.42857142857,14,82481.14285714286,0.684762577766693,29,
HPG,26900.0,30280.263157894733,22,24224.210526315786,0.8883674444878983,40,
DGC,47900.0,101115.0,11,80892.0,0.47371804381150173,20,
CTR,82500.0,92520.0,9,74016.0,0.8916990920881972,15,
VCG,22000.0,24615.0,9,19692.0,0.8937639650619541,10,
PC1,18100.0,25894.285714285717,9,20715.428571428576,0.6989959174666225,15,
GMD,81600.0,71168.18181818181,20,56934.54545454545,1.1465798045602607,35,
POW,14050.0,12633.75,15,10107.0,1.1121005243890374,27,
QTP,12100.0,13286.25,4,10629.0,0.9107159657540691,8,
VIC,222000.0,57510.0,2,46008.0,3.8601982263954095,2,
VHM,160200.0,100125.0,6,80100.0,1.6,8,
DXG,16200.0,19161.0,9,15328.800000000001,0.8454673555659934,12,
DIG,14650.0,,0,,,0,no_1y_reports_or_no_targetPrice; 
KDH,23600.0,34315.00000000001,7,27452.000000000007,0.6877458837243187,18,
KDC,47900.0,,0,,,0,no_1y_reports_or_no_targetPrice; 
KBC,33250.0,35944.137931034486,12,28755.31034482759,0.9250465281375313,29,
DPM,26650.0,25585.714285714286,11,20468.57142857143,1.0415968732551646,17,
PDR,16500.0,21574.285714285717,5,17259.428571428576,0.7647993643226062,7,
STB,76800.0,51819.23076923077,10,41455.384615384624,1.4820752616343797,15,
SHB,14000.0,15660.0,1,12528.0,0.8939974457215837,1,
SSI,28050.0,31560.0,2,25248.0,0.8887832699619772,3,
HUT,15600.0,,0,,,0,no_1y_reports_or_no_targetPrice; 
VCI,25500.0,26910.0,2,21528.0,0.947603121516165,3,
VJC,175000.0,124590.00000000001,4,99672.00000000001,1.4046071113251464,4,
GEX,34500.0,31140.0,4,24912.0,1.1078998073217727,6,
EIB,22550.0,23400.0,2,18720.0,0.9636752136752137,2,
PLX,37800.0,42079.09090909091,8,33663.27272727273,0.8983083803227687,13,
VRE,35450.0,31950.0,5,25560.0,1.109546165884194,12,
VIX,19050.0,,0,,,0,no_1y_reports_or_no_targetPrice; 
VND,16400.0,,0,,,0,no_1y_reports_or_no_targetPrice; 
MCH,126000.0,120600.0,4,96480.0,1.044776119402985,6,
VPL,89500.0,,1,,,1,no_1y_reports_or_no_targetPrice; 
TCX,50400.0,,1,,,1,no_1y_reports_or_no_targetPrice; 
NVL,16300.0,,0,,,0,no_1y_reports_or_no_targetPrice; 
